규격,도수,전통주명,제조사,주원료
375ml,15,일엽편주,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유"
750ml,12,달 1614 스위트와인,농업회사 덕유,"머루(국내산), 포도(국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모"
375ml,25,달홀진주25,농업회사법인 달홀주조,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제"
375ml,40,달홀진주40,농업회사법인 달홀주조,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제"
500ml,55,주향아라,농업회사법인 담을,"쌀, 국, 효모, 정제수"
500ml,41,주향담을,농업회사법인 담을,"쌀, 국, 효모, 정제수"
750ml,13,예화,농업회사법인 대윤가야곡주조㈜,"쌀, 누룩, 효모, 물엿, 정제수"
"1,000ml",5,오목대,농업회사법인 동문거리양조장㈜,"보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수"
500ml,10,삼선,농업회사법인 두루㈜,"국내산쌀, 누룩, 정제수"
730ml,6,고타다이브,농업회사법인 두루㈜,"물, 쌀(국내산), 국, 효모 밀함유"
735ml,7,맑은내일 유자,농업회사법인 맑은내일 주식회사,"정제수, 쌀, 입국[쌀], 주정, 유자과즙, 기타과당, 누룩[밀], 효모, 아밀라아제"
360ml,16.9,밤빛머루,농업회사법인 산들벗㈜,무주 머루
375ml,9,오롯이 복숭아,농업회사법인 솔티마을,"복숭아(국내산) 68%, 설탕, 효모, 이산화탄소, 구연산"
300ml,5,우주멜론미 스파클링 막걸리,농업회사법인 시향가㈜,"정제수, 멥쌀, 찹쌀, 멜론과즙, 누룩, 설탕, 밀함유"
500ml,8,시향가,농업회사법인 시향가㈜,"물, 쌀(국내산), 건조토란(국내산), 국, 젖산, 효모, 밀"
750ml,6,산막 생유 막걸리,농업회사법인 신탄진주조㈜,"국내산 쌀, 소맥분, 종국, 효모"
500ml,16,하타,농업회사법인 신탄진주조㈜,"쌀, 쌀입국, 효모, 정제수"
360ml,45,겨울소주45,농업회사법인 아리랑주조㈜,"증류원액[쌀(국내산), 국, 효모, 효소] 100%"
500ml,12,연천 연주,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 정제수"
